"Year,Days in Level D0,Avg Area Percent of D0,Days in Level D1,Avg Area Percent of D1,Days in Level D2,Avg Area Percent of D2,Days in Level D3,Avg Area Percent of D3,Days in Level D4,Avg Area Percent of D4"
"2000,19,24.466842105263165,0,0.0,0,0.0,0,0.0,0,0.0"
"2001,47,41.82638297872341,40,30.60449999999999,27,26.040740740740734,16,17.930624999999996,0,0.0"
"2002,22,41.21363636363636,39,42.51205128205128,39,33.52128205128204,28,21.433571428571433,0,0.0"
"2003,49,42.048163265306115,53,28.9188679245283,28,16.452499999999997,7,16.38,0,0.0"
"2004,20,40.189499999999995,53,37.91018867924525,15,19.220666666666666,0,0.0,0,0.0"
"2005,12,18.620833333333334,1,28.85,0,0.0,0,0.0,0,0.0"
"2006,24,23.273750000000003,2,11.64,0,0.0,0,0.0,0,0.0"
"2007,4,62.245,15,48.44133333333333,50,54.07639999999998,43,29.95325581395349,0,0.0"
"2008,7,56.58714285714286,20,41.830499999999994,41,35.0841463414634,1,14.55,0,0.0"
"2009,0,0.0,8,62.86625,50,37.77959999999999,6,16.400000000000002,0,0.0"
"2010,42,23.10309523809522,9,18.423333333333332,2,17.6,0,0.0,0,0.0"
"2011,26,16.355769230769234,0,0.0,0,0.0,0,0.0,0,0.0"
"2012,5,68.304,45,61.25555555555557,45,25.052,0,0.0,0,0.0"
"2013,7,66.35714285714286,18,50.92166666666666,25,31.873600000000007,21,16.77,0,0.0"
"2014,0,0.0,0,0.0,0,0.0,13,60.16615384615385,46,40.36304347826087"
"2015,0,0.0,0,0.0,0,0.0,21,67.46238095238093,53,44.06698113207548"
"2016,0,0.0,1,68.87,33,60.14303030303029,53,48.86886792452833,53,26.208679245282998"
"2017,51,29.567450980392127,11,42.53090909090909,7,37.58142857142857,4,32.7175,2,18.31"
"2018,16,61.460625,47,40.77936170212767,47,19.3204255319149,0,0.0,0,0.0"
"2019,11,24.841818181818187,3,14.920000000000002,2,14.12,0,0.0,0,0.0"
"2020,25,57.999600000000015,37,50.288918918918924,35,29.00228571428572,14,19.240714285714287,0,0.0"
"2021,0,0.0,0,0.0,10,60.275,19,35.34157894736842,33,36.581818181818164"
